value,type,confidence,context,source,url
Patroit,Email,High,The misspelled rule name used in Google Workspace to exfiltrate data.,The Hacker News,https://thehackernews.com/2026/06/chinese-hackers-abused-google-workspace.html
chikungunya,URL,High,A specific keyword used in the exfiltration rule.,The Hacker News,https://thehackernews.com/2026/06/chinese-hackers-abused-google-workspace.html
vrchat.com,Domain,Medium,Fake breach notice submitted under fake VRChat letterhead,The Record,https://therecord.media/maine-turns-off-breach-portal-fake-reports
discord.com,Domain,Medium,Fake breach notice submitted under fake Discord letterhead,The Record,https://therecord.media/maine-turns-off-breach-portal-fake-reports
a.omappapi.com,Domain,High,OptinMonster,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
a.opmnstr.com,Domain,High,OptinMonster,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
a.optnmstr.com,Domain,High,OptinMonster,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
a.trstplse.com,Domain,High,TrustPulse,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
"content-delivery-helper, v2.7.1",Filename,High,Malicious plugin disguise,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
"database-optimizer, v2.9.4",Filename,High,Malicious plugin disguise,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
api.min.js,Filename,High,Malicious JavaScript file,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
CVE,CVE,Medium,Exploited known flaw in UpdraftPlus,BleepingComputer,https://www.bleepingcomputer.com/news/security/optinmonster-wordpress-plugin-hacked-in-cdn-supply-chain-attack/
vmanage-server,Filename,High,logs to check for attempts to upload index.jsp and .war files,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
vmanage-appserver,Filename,High,logs to check for attempts to upload index.jsp and .war files,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
serviceproxy-access,Filename,High,logs to check for attempts to upload index.jsp and .war files,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
CVE-2026-20262,CVE,High,vulnerability exploited in zero-day attacks,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
CVE-2026-20133,CVE,High,information disclosure flaw patched in February,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
CVE-2026-20128,CVE,High,flaw abused in the wild,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
CVE-2026-20122,CVE,High,flaw abused in the wild,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
CVE-2026-20182,CVE,High,authentication-bypass flaw exploited as zero-day,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
CVE-2026-20245,CVE,High,zero-day exploited in attacks to gain root privileges,BleepingComputer,https://www.bleepingcomputer.com/news/security/cisco-fixes-sd-wan-vmanage-flaw-exploited-in-zero-day-attacks/
